P0,
Index [1],dR [mm]
903,-11.5852
904,-11.55
905,-11.6129
906,-11.6272
907,-11.7487
908,-11.7063
909,-11.6449
910,-11.6774
911,-11.7286
912,-11.7712
913,-11.8407
914,-11.8483
915,-11.9927
916,-11.9737
917,-11.9437
918,-11.993
919,-12.0325
920,-12.0526
921,-12.0396
922,-12.1224
923,-12.1259
924,-12.2115
925,-12.2011
926,-12.1856
927,-12.1793
928,-12.2954
929,-12.3244
930,-12.2385
931,-12.3115
932,-12.3056
933,-12.3963
934,-12.4174
935,-12.4226
936,-12.4461
937,-12.3595
938,-12.4552
939,-12.4956
940,-12.4333
941,-12.4427
942,-12.4294
943,-12.4362
944,-12.3507
945,-12.446
946,-12.427
947,-12.3646
948,-12.3329
949,-12.4033
950,-12.343
951,-12.3211
952,-12.2289
953,-12.2959
954,-12.2609
955,-12.3434
956,-12.2635
957,-12.1941
958,-12.2039
959,-12.162
960,-12.1801
961,-12.181
962,-12.1457
963,-12.1217
964,-12.0896
965,-12.1592
966,-12.1313
967,-12.0955
968,-12.0749
969,-12.0742
970,-11.9748
971,-12.0162
972,-12.028
973,-12.014
974,-12.0112
975,-11.9621
976,-11.9326
977,-11.8465
978,-11.9525
979,-11.9316
980,-11.8031
981,-11.8033
982,-11.7296
983,-11.719
984,-11.7146
985,-11.6739
986,-11.7244
987,-11.6474
988,-11.549
989,-11.5097
990,-11.4238
991,-11.448
992,-11.4169
993,-11.4255
994,-11.341
995,-11.2836
996,-11.26
997,-11.294
998,-11.2026
999,-11.1265
1000,-11.1175
1001,-11.0957
1002,-11.1063
1003,-11.1263
1004,-11.0943
1005,-11.0314
1006,-10.9722
1007,-11.0191
1008,-10.9788
1009,-10.924
1010,-10.8994
1011,-10.9234
1012,-10.9409
1013,-10.956
1014,-10.8912
1015,-10.9147
1016,-10.8657
1017,-10.8713
1018,-10.8408
1019,-10.8665
1020,-10.855
1021,-10.8367
1022,-10.7866
1023,-10.7373
1024,-10.8137
1025,-10.712
1026,-10.7792
