Average,P0,P1
Index [1],dR [mm],dR [mm]
634,-12.8467,-12.1176
635,-12.8259,-12.0696
636,-12.7482,-12.0676
637,-12.6912,-11.9968
638,-12.6843,-12.0085
639,-12.7665,-12.0584
640,-12.7696,-12.0681
641,-12.78,-12.0678
642,-12.7446,-12.0508
643,-12.7187,-11.9865
644,-12.7176,-11.9676
645,-12.7459,-12.0245
646,-12.7733,-12.0212
647,,-11.9585
648,-12.7027,-11.9254
649,-12.6822,-11.8992
650,-12.6888,-11.905
651,-12.6462,-11.8529
652,-12.6678,-11.883
653,-12.6835,-11.8634
654,-12.7332,-11.8932
655,-12.7596,-11.9038
656,-12.6828,-11.8767
657,-12.6661,-11.8473
658,-12.7255,-11.8778
659,-12.7764,-11.9407
660,-12.7895,-11.927
661,-12.7647,-11.8912
662,-12.7795,-11.9088
663,-12.8105,-11.9656
664,-12.811,-11.9262
665,-12.7726,-11.8605
666,-12.7924,-11.9254
667,-12.8516,-11.8909
668,-12.8202,-11.9333
669,-12.8114,-11.8871
670,-12.7995,-11.8754
671,-12.8622,-11.9086
672,-12.8636,-11.8875
673,-12.8762,-11.8823
674,-12.8433,-11.8369
675,-12.8307,-11.868
676,-12.8443,-11.8327
677,-12.853,-11.8513
678,-12.8734,-11.8506
679,-12.9247,-11.9269
680,-12.8659,-11.8752
681,-12.8749,-11.8434
682,-12.8483,-11.8568
683,-12.8456,-11.7778
684,-12.7971,-11.7573
685,-12.8229,-11.7555
686,-12.8767,-11.8169
687,-12.9066,-11.7964
688,-12.8512,-11.7803
689,-12.8767,-11.7742
690,-12.899,-11.8115
691,-12.9108,-11.8236
692,-12.9095,-11.8071
693,-12.8647,-11.7037
694,-12.8928,-11.7839
695,-12.9131,-11.7961
696,-12.9449,-11.833
697,-12.9294,-11.7901
698,-12.9326,-11.8005
699,-12.9032,-11.6977
700,-12.9108,-11.7942
701,-12.929,-11.7874
702,-12.9527,-11.8001
703,-12.9483,-11.8125
704,-12.9241,-11.7499
705,-12.9167,-11.7357
706,-12.9601,-11.7776
707,-12.9616,-11.6992
708,-12.957,-11.7708
709,-12.9307,-11.6966
710,-12.9461,-11.6619
711,-12.9203,-11.68
712,-12.9225,-11.709
713,-12.9491,-11.6346
714,-12.939,-11.6935
715,-12.8987,-11.6361
716,-12.8961,-11.6291
717,-12.8896,-11.5716
718,-12.9137,-11.6629
719,-12.9025,-11.5517
720,-12.9039,-11.5398
721,-12.8257,-11.5057
722,-12.8154,-11.4681
723,-12.7842,-11.4319
724,-12.8255,-11.4644
725,-12.7867,-11.4441
726,-12.7909,-11.4283
727,-12.7534,-11.381
728,-12.7587,-11.325
729,-12.7205,-11.3303
730,-12.653,-11.232
731,-12.6392,-11.2339
732,-12.6492,-11.2357
733,-12.6484,-11.2167
734,-12.6533,-11.2182
735,-12.5623,-11.0972
736,-12.5741,-11.0959
737,-12.5337,-10.9689
738,-12.4481,-10.9598
739,-12.4551,-10.9477
740,-12.4614,-10.9304
741,-12.4576,-10.9334
742,-12.3874,-10.8324
743,-12.3631,-10.784
744,-12.333,-10.7379
745,-12.2607,-10.6256
746,-12.2527,-10.6566
747,-12.1748,-10.5784
748,-12.1924,-10.5099
749,-12.2361,-10.612
750,-12.1587,-10.5608
751,-12.0973,-10.4502
752,-12.0397,-10.3916
753,-11.9566,-10.3429
754,-11.9173,-10.3084
755,-11.8952,-10.2669
756,-11.8898,-10.2081
757,-11.7847,-10.1324
758,-11.7659,-10.0952
759,-11.7097,-10.0166
760,-11.7261,-10.0433
761,-11.6542,-9.9606
762,-11.5786,-9.86832
763,-11.5519,-9.84528
764,-11.512,-9.85157
765,-11.5882,-9.84166
766,-11.492,-9.82849
767,-11.4323,-9.74462
768,-11.3947,-9.62936
769,-11.3768,-9.61616
770,-11.3536,-9.64019
771,-11.2528,-9.53739
772,-11.2205,-9.51038
773,-11.1562,-9.48361
774,-11.1596,-9.43503
775,-11.1337,-9.39422
776,-11.0626,-9.27652
777,-10.9866,-9.17291
778,-10.961,-9.22545
779,-10.9826,-9.29556
780,-10.8668,-9.1305
781,-10.8168,-9.05519
782,-10.8226,-9.09586
783,-10.781,-9.01371
784,-10.7228,-8.98885
785,-10.7071,-8.91815
786,-10.614,-8.85169
787,-10.5489,-8.70336
788,-10.4931,-8.72752
789,-10.4922,-8.68834
790,-10.4539,-8.64412
791,-10.3867,-8.60809
792,-10.353,-8.52539
793,-10.2914,-8.48167
794,-10.2413,-8.41516
795,-10.2072,-8.43941
796,-10.1662,-8.35018
797,-10.1649,-8.37485
798,-10.1154,-8.28463
799,-10.0248,-8.1937
800,-10.073,-8.28227
801,-9.97191,-8.18122
802,-10.0943,-8.22667
803,-9.98079,-8.21222
804,-9.93833,-8.17333
805,-9.92332,-8.07911
806,-9.86009,-8.03126
807,-9.8334,-8.06713
808,-9.80691,-8.00938
809,-9.83196,-8.09925
810,-9.82844,-8.01921
811,-9.74613,-7.96869
812,-9.72311,-7.97143
813,-9.74188,-7.97769
814,-9.72233,-7.92046
815,-9.69576,-7.91526
816,-9.73332,-7.96276
817,-9.72321,-7.97137
818,-9.69947,-7.9615
819,-9.72713,-8.01847
820,-9.69366,-7.98671
821,-9.60758,-7.89218
822,-9.63511,-7.95025
823,-9.60639,-7.84365
824,-9.6531,-7.96239
825,-9.63759,-7.92725
826,-9.60462,-7.90088
827,-9.54763,-7.80081
828,-9.48509,-7.81913
829,-9.53089,-7.83109
830,-9.56571,-7.85964
831,-9.5919,-7.84504
