AstroVIEW X
Type, Original
Time, 01/01/2002 12:28:49 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6015
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2535297 ,-0.01177           ,-0.00577           ,-0.01255           ,-0.01140           
2535298 ,-0.02065           ,-0.01425           ,-0.01485           ,-0.01917           
2535299 ,-0.01972           ,-0.01890           ,-0.01398           ,-0.01900           
2535300 ,-0.00875           ,-0.01008           ,-0.00685           ,-0.01188           
2535301 ,-0.00772           ,-0.00683           ,-0.00512           ,-0.01062           
2535302 ,-0.01362           ,-0.01117           ,-0.01108           ,-0.01453           
2535303 ,-0.01180           ,-0.00835           ,-0.01250           ,-0.01367           
2535304 ,-0.00993           ,-0.00577           ,-0.01122           ,-0.01155           
2535305 ,-0.01817           ,-0.01293           ,-0.01285           ,-0.01860           
2535306 ,-0.02153           ,-0.01963           ,-0.01460           ,-0.02103           
2535307 ,-0.01095           ,-0.01072           ,-0.00803           ,-0.01412           
2535308 ,-0.00660           ,-0.00503           ,-0.00353           ,-0.01122           
2535309 ,-0.01353           ,-0.00980           ,-0.00995           ,-0.01605           
2535310 ,-0.01367           ,-0.00917           ,-0.01388           ,-0.01667           
2535311 ,-0.01008           ,-0.00498           ,-0.01165           ,-0.01327           
2535312 ,-0.01665           ,-0.01062           ,-0.01205           ,-0.01913           
2535313 ,-0.02340           ,-0.01943           ,-0.01520           ,-0.02313           
2535314 ,-0.01395           ,-0.01250           ,-0.01015           ,-0.01685           
2535315 ,-0.00667           ,-0.00475           ,-0.00357           ,-0.01088           
2535316 ,-0.01293           ,-0.00898           ,-0.00915           ,-0.01555           
2535317 ,-0.01545           ,-0.01030           ,-0.01532           ,-0.01787           
2535318 ,-0.01027           ,-0.00543           ,-0.01288           ,-0.01345           
2535319 ,-0.01325           ,-0.00965           ,-0.01105           ,-0.01730           
2535320 ,-0.02355           ,-0.02032           ,-0.01498           ,-0.02282           
2535321 ,-0.01653           ,-0.01560           ,-0.01195           ,-0.01858           
2535322 ,-0.00662           ,-0.00553           ,-0.00393           ,-0.01077           
2535323 ,-0.01212           ,-0.00857           ,-0.00830           ,-0.01467           
2535324 ,-0.01710           ,-0.01200           ,-0.01660           ,-0.01895           
2535325 ,-0.01138           ,-0.00638           ,-0.01470           ,-0.01458           
2535326 ,-0.01150           ,-0.00807           ,-0.01090           ,-0.01658           
2535327 ,-0.02380           ,-0.01975           ,-0.01500           ,-0.02308           
2535328 ,-0.02072           ,-0.01750           ,-0.01358           ,-0.02085           
2535329 ,-0.00900           ,-0.00625           ,-0.00398           ,-0.01182           
2535330 ,-0.01108           ,-0.00722           ,-0.00630           ,-0.01345           
2535331 ,-0.01800           ,-0.01267           ,-0.01620           ,-0.01890           
2535332 ,-0.01285           ,-0.00800           ,-0.01520           ,-0.01560           
2535333 ,-0.00975           ,-0.00738           ,-0.00965           ,-0.01522           
2535334 ,-0.02145           ,-0.01850           ,-0.01400           ,-0.02137           
2535335 ,-0.02325           ,-0.01890           ,-0.01515           ,-0.02170           
2535336 ,-0.01032           ,-0.00735           ,-0.00520           ,-0.01160           
2535337 ,-0.00875           ,-0.00635           ,-0.00538           ,-0.01135           
2535338 ,-0.01767           ,-0.01390           ,-0.01622           ,-0.01790           
2535339 ,-0.01372           ,-0.01085           ,-0.01680           ,-0.01622           
2535340 ,-0.00857           ,-0.00780           ,-0.00943           ,-0.01432           
2535341 ,-0.01948           ,-0.01720           ,-0.01260           ,-0.02015           
2535342 ,-0.02505           ,-0.02043           ,-0.01643           ,-0.02275           
2535343 ,-0.01253           ,-0.00960           ,-0.00667           ,-0.01348           
2535344 ,-0.00693           ,-0.00593           ,-0.00400           ,-0.01120           
2535345 ,-0.01672           ,-0.01410           ,-0.01517           ,-0.01817           
2535346 ,-0.01488           ,-0.01267           ,-0.01848           ,-0.01877           
2535347 ,-0.00817           ,-0.00788           ,-0.01012           ,-0.01488           
2535348 ,-0.01635           ,-0.01603           ,-0.01148           ,-0.01980           
2535349 ,-0.02620           ,-0.02148           ,-0.01740           ,-0.02370           
2535350 ,-0.01553           ,-0.01143           ,-0.00907           ,-0.01565           
2535351 ,-0.00683           ,-0.00488           ,-0.00343           ,-0.01120           
